item,sentence,question,answer,group
1,The actress's cousin who owned seventeen dogs vacationed in Italy for a month.,Did someone go to the hospital?,No,c
2,The movie critic whose sister lived in Rome hated the movie about the lonely heiress.,,Yes,c
3,The governess who looked after the children at the party was exhausted by the end of the night.,,No,c
4,The mother of the bride cried as she watched her husband and daughter dance at the wedding.,,Yes,c
5,The captain of the hockey team baked them a pie after they won the championship.,,No,c
6,The cousin of the pianist watched her performance from the front row.,,Yes,c
7,The flight attendant asked the brother of the president to fasten his seatbelt after the sign lit up.,,No,c
8,The childhood friend of the former empress reached out to her after she relinquished the throne.,,Yes,c
9,The king of the small country always carried his favorite dagger on the right side of his belt.,,No,c
10,The brother of the priest thought he would be forgiven for taking money from the collection bin.,,Yes,c
11,The state elected a new congressman whose sister was their congresswoman the previous year.,,No,c
12,The nephew of the princess sneezed during the ceremony and was terribly embarrassed.,,Yes,c
13,The policewoman's grandfather retired from the police force before she joined it.,Did someone retire from the army?,No,c
14,The wife of the fisherman always knitted him a new sweater before the weather got cold.,,Yes,c
15,The mother of the queen's lady-in-waiting was arrested for stealing silverware from the castle.,,No,c
16,The squire of the knight was the only person who could calm the knight's horse when it was upset.,,Yes,c
17,The heiress's grandmother won the lottery and invested her winnings wisely.,,No,c
18,The nephew of the hunter knew that there were no wolves left in the eastern part of the forest.,,Yes,c
19,The roommate of the artist was scolded for using expensive paint without permission.,,No,c
20,The singer's cousin called the son of the guitarist a genius for fixing the malfunctioning speaker.,,Yes,c
21,The principal of the school never complained about the secretaries because they knew how to keep the printers working.,,No,c
22,The student of the magician disappeared during a trick and was never seen again.,,Yes,c
23,The brother of the ice skater decided to open a skating rink so more people could try the sport.,,No,c
24,The great-aunt of the teacher always planned hiking trips for the two of them during the summer.,,Yes,c
25,The newest cellist of the orchestra misplaced some sheet music and was embarrassed to ask for extra copies.,,No,c
26,The lead actor of the hit movie was embroiled in an embarrassing scandal just before the award show.,Was there a scandal?,Yes,c
27,The best friend of the prince memorized the guards' names because it was the polite thing to do.,,No,c
28,The sister of the duchess always appreciated the fancy jewelery that she received on her birthday.,,Yes,c
29,The brother of the queen spent most of the night in the garden because he hated parties.,,No,c
30,The father of the schoolgirl bought her a cake when she earned an award for her essay.,,Yes,c
31,The manager of the grocery store accidentally ordered too many frozen tater tots and had to discount them.,,No,c
32,The nephew of the duke bought a fancy red sportscar and got a ticket for speeding.,,Yes,c
33,The favorite cafe of the professor donated all of their profits earned on Wednesdays to charity.,,No,c
34,The lawyer of the mayor had to retake the Bar Exam three times before passing.,,Yes,c
35,The head gardener of the amusement park loved to hide painted rocks in the greenery near the rest areas.,,No,c
36,The aunt of the gambler was confused about why the money she loaned was never repaid.,Was someone confused?,Yes,c
1,The actress's cousin who owned seventeen dogs vacationed in Italy for a month.,Did someone go to the hospital?,No,f
2,The movie critic whose sister lived in Rome hated the movie about the lonely heiress.,,Yes,f
3,The governess who looked after the children at the party was exhausted by the end of the night.,,No,f
4,The mother of the bride cried as she watched her husband and daughter dance at the wedding.,,Yes,f
5,The captain of the hockey team baked them a pie after they won the championship.,,No,f
6,The cousin of the pianist watched her performance from the front row.,,Yes,f
7,The flight attendant asked the brother of the president to fasten his seatbelt after the sign lit up.,,No,f
8,The childhood friend of the former empress reached out to her after she relinquished the throne.,,Yes,f
9,The king of the small country always carried his favorite dagger on the right side of his belt.,,No,f
10,The brother of the priest thought he would be forgiven for taking money from the collection bin.,,Yes,f
11,The state elected a new congressman whose sister was their congresswoman the previous year.,,No,f
12,The nephew of the princess sneezed during the ceremony and was terribly embarrassed.,,Yes,f
