item,disambig,sentence,qtype,question,answer,group
1,ambig,The sister of the actress who shot herself on the balcony was under investigation.,Int,Was there an award?,No,c
1,n1,The brother of the actress who shot himself on the balcony was under investigation.,Int,Was there an award?,No,f
1,n2,The brother of the actress who shot herself on the balcony was under investigation.,Int,Was there an award?,No,i
1,ambig,The sister of the actress who shot herself on the balcony was under investigation.,Rel,Did the sister get shot?,Yes/No,a
1,n1,The brother of the actress who shot himself on the balcony was under investigation.,Rel,Did the actress get shot?,No,d
1,n2,The brother of the actress who shot herself on the balcony was under investigation.,Rel,Did the brother get shot?,No,g
1,ambig,The sister of the actress who shot herself on the balcony was under investigation.,Sup,Was there an award?,No,b
1,n1,The brother of the actress who shot himself on the balcony was under investigation.,Sup,Was there an award?,No,e
1,n2,The brother of the actress who shot herself on the balcony was under investigation.,Sup,Was there an award?,No,h
2,n2,The sister of the fireman who criticized himself far too often was painting the bedroom.,Int,,Yes,c
2,ambig,The uncle of the fireman who criticized himself far too often was painting the bedroom.,Int,,Yes,f
2,n1,The sister of the fireman who criticized herself far too often was painting the bedroom.,Int,,Yes,i
2,n2,The sister of the fireman who criticized himself far too often was painting the bedroom.,Rel,Was the fireman self-critical?,Yes,a
2,ambig,The uncle of the fireman who criticized himself far too often was painting the bedroom.,Rel,Was the uncle self-critical?,Yes/No,d
2,n1,The sister of the fireman who criticized herself far too often was painting the bedroom.,Rel,Was the sister self-critical?,Yes,g
2,n2,The sister of the fireman who criticized himself far too often was painting the bedroom.,Sup,Was the bedroom being painted?,Yes,b
2,ambig,The uncle of the fireman who criticized himself far too often was painting the bedroom.,Sup,Was the bedroom being painted?,Yes,e
2,n1,The sister of the fireman who criticized herself far too often was painting the bedroom.,Sup,Was the bedroom being painted?,Yes,h
3,n1,The aunt of the salesman who amused herself quite a bit was writing a letter to the editor.,Int,,No,c
3,n2,The aunt of the salesman who amused himself quite a bit was writing a letter to the editor.,Int,,No,f
3,ambig,The brother of the salesman who amused himself quite a bit was writing a letter to the editor.,Int,,No,i
3,n1,The aunt of the salesman who amused herself quite a bit was writing a letter to the editor.,Rel,Was the salesman amused?,No,a
3,n2,The aunt of the salesman who amused himself quite a bit was writing a letter to the editor.,Rel,Was the aunt amused?,No,d
3,ambig,The brother of the salesman who amused himself quite a bit was writing a letter to the editor.,Rel,Was the brother amused?,Yes/No,g
3,n1,The aunt of the salesman who amused herself quite a bit was writing a letter to the editor.,Sup,Was someone writing a book?,No,b
3,n2,The aunt of the salesman who amused himself quite a bit was writing a letter to the editor.,Sup,Was someone writing a book?,No,e
3,ambig,The brother of the salesman who amused himself quite a bit was writing a letter to the editor.,Sup,Was someone writing a book?,No,h
4,ambig,The mother of the bride who embarrassed herself at the reception was complaining to the priest.,Int,,Yes,c
4,n1,The father of the bride who embarrassed himself at the reception was complaining to the priest.,Int,,Yes,f
4,n2,The father of the bride who embarrassed herself at the reception was complaining to the priest.,Int,,Yes,i
4,ambig,The mother of the bride who embarrassed herself at the reception was complaining to the priest.,Rel,Was the mother embarrassed?,Yes/No,a
4,n1,The father of the bride who embarrassed himself at the reception was complaining to the priest.,Rel,Was the father embarrassed?,Yes,d
4,n2,The father of the bride who embarrassed herself at the reception was complaining to the priest.,Rel,Was the bride embarrassed?,Yes,g
4,ambig,The mother of the bride who embarrassed herself at the reception was complaining to the priest.,Sup,Did someone complain to the priest?,Yes,b
4,n1,The father of the bride who embarrassed himself at the reception was complaining to the priest.,Sup,Did someone complain to the priest?,Yes,e
4,n2,The father of the bride who embarrassed herself at the reception was complaining to the priest.,Sup,Did someone complain to the priest?,Yes,h
5,n2,The aunt of the clergyman who injured himself last summer was concerned about the infection.,Int,,No,c
5,ambig,The uncle of the clergyman who injured himself last summer was concerned about the infection.,Int,,No,f
5,n1,The aunt of the clergyman who injured herself last summer was concerned about the infection.,Int,,No,i
5,n2,The aunt of the clergyman who injured himself last summer was concerned about the infection.,Rel,Did the aunt get injured?,No,a
5,ambig,The uncle of the clergyman who injured himself last summer was concerned about the infection.,Rel,Did the uncle get injured?,Yes/No,d
5,n1,The aunt of the clergyman who injured herself last summer was concerned about the infection.,Rel,Did the clergyman get injured?,No,g
5,n2,The aunt of the clergyman who injured himself last summer was concerned about the infection.,Sup,Was there confusion about the infection?,No,b
5,ambig,The uncle of the clergyman who injured himself last summer was concerned about the infection.,Sup,Was there confusion about the infection?,No,e
5,n1,The aunt of the clergyman who injured herself last summer was concerned about the infection.,Sup,Was there confusion about the infection?,No,h
6,n1,The mother of the policeman who complimented herself constantly was bothered by the reporter.,Int,,Yes,c
6,n2,The mother of the policeman who complimented himself constantly was bothered by the reporter.,Int,,Yes,f
6,ambig,The brother of the policeman who complimented himself constantly was bothered by the reporter.,Int,,Yes,i
6,n1,The mother of the policeman who complimented herself constantly was bothered by the reporter.,Rel,Did the mother like compliments?,Yes,a
6,n2,The mother of the policeman who complimented himself constantly was bothered by the reporter.,Rel,Did the policeman like compliments?,Yes,d
6,ambig,The brother of the policeman who complimented himself constantly was bothered by the reporter.,Rel,Did the brother like compliments?,Yes/No,g
6,n1,The mother of the policeman who complimented herself constantly was bothered by the reporter.,Sup,Did the reporter bother anyone?,Yes,b
6,n2,The mother of the policeman who complimented himself constantly was bothered by the reporter.,Sup,Did the reporter bother anyone?,Yes,e
6,ambig,The brother of the policeman who complimented himself constantly was bothered by the reporter.,Sup,Did the reporter bother anyone?,Yes,h
7,ambig,The niece of the waitress who hurt herself on the bicycle was angry about the incident.,Int,,No,c
7,n1,The nephew of the waitress who hurt himself on the bicycle was angry about the incident.,Int,,No,f
7,n2,The nephew of the waitress who hurt herself on the bicycle was angry about the incident.,Int,,No,i
7,ambig,The niece of the waitress who hurt herself on the bicycle was angry about the incident.,Rel,Did the niece get hurt?,Yes/No,a
7,n1,The nephew of the waitress who hurt himself on the bicycle was angry about the incident.,Rel,Did the nephew get hurt?,No,d
7,n2,The nephew of the waitress who hurt herself on the bicycle was angry about the incident.,Rel,Did the waitress get hurt?,No,g
7,ambig,The niece of the waitress who hurt herself on the bicycle was angry about the incident.,Sup,Was anyone excited?,No,b
7,n1,The nephew of the waitress who hurt himself on the bicycle was angry about the incident.,Sup,Was anyone excited?,No,e
7,n2,The nephew of the waitress who hurt herself on the bicycle was angry about the incident.,Sup,Was anyone excited?,No,h
8,n2,The brother of the seamstress who entertained herself most evenings was reading a book.,Int,,Yes,c
8,ambig,The sister of the seamstress who entertained herself most evenings was reading a book.,Int,,Yes,f
8,n1,The brother of the seamstress who entertained himself most evenings was reading a book.,Int,,Yes,i
8,n2,The brother of the seamstress who entertained herself most evenings was reading a book.,Rel,Was the seamstress entertained most evenings?,Yes,a
